FCID,ANNPRE,ANNTMP,AUGMAXT,CONTPRE,CVPRE,DECMINT,DIFTMP,SMRTMP,SMRTP,ASPTR,DEM,PRR,SLPPCT,TPI450,TC1,TC2,TC3,NBR
52481,740,514.6667,2315,517.6667,8971.6667,-583.1111,2899.1111,1136.1111,212.2222,197.6667,1870.1111,13196.6667,48.3333,33.7778,218.7778,68.5556,-86.2222,343.5556
52482,742,563.5556,2354.3333,502,9124.3333,-543.5556,2898.8889,1179.4444,221.1111,190.2222,1713.1111,16355.7778,5.4444,6.4444,210.2222,60.3333,-96.6667,261.6667
52484,738.5556,639.1111,2468.8889,545.8889,8897.2222,-479.1111,2949,1266.2222,236,194.5556,1612.1111,15132.5556,15.5556,-1.2222,157,110.2222,-17.4444,721
52485,730.3333,622.6667,2405.3333,555,8829.7778,-481.2222,2887.5556,1244.2222,234,196.4444,1682.3333,15146.6667,19.8889,-16.8889,152.5556,86.1111,-31.6667,597.1111
52494,720,778.5556,2678.1111,658.5556,8638,-386.6667,3065.7778,1396,262,191.7778,1345.6667,16672.1111,2,0.4444,214.6667,58.5556,-88.1111,294.2222
52502,744,753.8889,2265.4444,393,9299,-152.3333,2418.6667,1325.7778,256.5556,146.8889,1542.2222,16643.5556,6.5556,-35.1111,249.5556,148.8889,-84.3333,530.2222
52506,734,654,2469.5556,600,8622.3333,-440,2910.5556,1281.5556,237.7778,195.5556,1611.3333,13983.4444,21.2222,-7.5556,246.2222,125.5556,-78.6667,480.7778
52522,733,559.1111,2361.1111,564.6667,8760.3333,-533.6667,2895.7778,1182,220.7778,111.4444,1734.2222,13413.8889,23.4444,-42,145.4444,76.1111,-36.5556,547.2222
52601,740,592,2431,527.8889,8930.8889,-535.3333,2967.2222,1220.6667,227.2222,30.7778,1666,16924.1111,6.4444,-1.7778,192,94.2222,-69.5556,488.7778
52602,696.1111,1114,2788,489.8889,9028.3333,33.8889,2754.1111,1698.7778,348.2222,182.1111,746.2222,13539.6667,46.7778,-34,215.3333,148.1111,-38.7778,687.5556
52603,723,1010.1111,2539.5556,499,8977.8889,48,2491.5556,1574.4444,305,139.5556,1011.6667,12113.1111,36.7778,-11.4444,149.1111,96.6667,-26.3333,671.5556
52604,723.3333,959.5556,2467,499,8978.1111,22.7778,2444.3333,1518,294,184.3333,1126.2222,9689.1111,53.6667,18.4444,154,111,-22.4444,711
52605,704.2222,1051.3333,2604.5556,499,9001.1111,72,2532.5556,1619.4444,325.5556,92.3333,1102.6667,12815.6667,54.8889,103,163.1111,105.2222,-36,628.8889
52606,674,1124.7778,2818.3333,482.6667,9059,35.3333,2783.5556,1709.6667,368.6667,54.5556,807.5556,19918.7778,32.3333,68.5556,237,179.3333,-38.2222,723.5556
52607,680,1112.5556,2759,492,9048,25.6667,2734,1696.6667,359,72.4444,793.7778,20165.5556,48.7778,-4.7778,296,190.4444,-83,598.4444
52608,704.1111,1071.1111,2782.5556,507.8889,8975.4444,-44.6667,2828.2222,1647.2222,329.4444,141.7778,832,14541.8889,27.2222,63.5556,204.3333,141.2222,-41.1111,665.1111
52609,702,1097.3333,2748,509,8974.3333,22.6667,2725.6667,1677.3333,336.8889,195.8889,862.5556,11747.3333,50.6667,62.4444,218.1111,169.7778,-23.7778,750.5556
52610,697,1082.1111,2666.8889,504,8995.7778,61.1111,2605.6667,1653.3333,336.3333,63.7778,963.3333,14411.7778,48.6667,72.5556,178,126.2222,-32.5556,677.7778
52611,693,1110.2222,2743.3333,504,9004,37.1111,2706.4444,1689.3333,346.6667,186.2222,799.6667,14490.6667,30.4444,-8.5556,202.1111,157.6667,-26,743.1111
52612,691.6667,1096.6667,2871,502,9014.3333,-34.4444,2906.3333,1663,342,5.6667,582.1111,18018.3333,20.2222,-52.1111,190.5556,148.4444,-24.1111,753.5556
52613,674,1106.7778,2946.1111,495.2222,9046.3333,-70.5556,3017.6667,1693.6667,363,9.6667,505.1111,16555.5556,21.1111,-37.1111,214.7778,153.7778,-35.8889,693.7778
52614,672,1123,2847,482.7778,9066.8889,3.4444,2844.3333,1709,368.5556,180.3333,685.1111,8755.8889,59.8889,-28.2222,174.3333,129.1111,-25.1111,726.8889
52615,674,1125.5556,2806.6667,489.3333,9057.6667,51.3333,2755.6667,1706,366,194.2222,778.4444,11978.4444,71.1111,9.2222,197.3333,152.7778,-33.7778,722.4444
52616,698,1089.1111,2849.1111,506,8992.3333,-36.4444,2886.7778,1659.5556,336.6667,166.7778,742,14771.7778,43,83.2222,238.4444,196.2222,-20,802.7778
52617,704.1111,1099.1111,2710.4444,502,8992.3333,47.6667,2662.6667,1679.1111,337,136,771.5556,13370,33.4444,-75.4444,219,141.5556,-51.3333,631.3333
52618,709,1068,2857.1111,616,8649.2222,-70.2222,2928.6667,1646.1111,318,52.6667,700,15127.1111,28.8889,-1.7778,173.7778,137.7778,-16.2222,783.8889
52619,709,1068.5556,2868.3333,620.7778,8640.3333,-84,2953,1650.6667,318.3333,82.5556,661.7778,16189.8889,10.4444,-33,209.7778,151.8889,-39.3333,696.5556
52620,704.8889,1078.3333,2901.2222,671,8541,-86.3333,2988.5556,1674.4444,321.4444,117.4444,708.4444,11455.4444,43.2222,37.7778,185.3333,136.7778,-26.3333,725.3333
52621,720,1042,2666.7778,537.8889,8858.4444,1.6667,2665.6667,1616.1111,311.1111,87.6667,943.1111,19969.1111,48.5556,21.8889,274.1111,225.2222,-28.3333,774.6667
52622,711,1068,2870,610.3333,8666.4444,-91.1111,2961.6667,1655.3333,319,142.3333,660.8889,14215.5556,18.8889,-27.1111,227.7778,176,-37.6667,730.2222
52623,702.7778,1244.4444,3190.5556,390.7778,9275.4444,80.3333,3110.3333,1862.7778,386.8889,132.1111,416.3333,17253.8889,45.2222,48.5556,283.3333,144.3333,-77.2222,537.4444
52624,707.5556,1203,2882.4444,413.6667,9140,179.2222,2703.1111,1787.4444,360.6667,10.3333,792.8889,19325.4444,47.3333,28.1111,264.4444,194.4444,-40.8889,719.4444
52625,706,1161.6667,3077,412,9160.6667,36.1111,3040.8889,1763.2222,357.8889,82.3333,386,13201.2222,48.1111,-89.2222,234.2222,124.8889,-70.4444,520.7778
52626,668,1184.7778,3058.7778,466,9120.8889,-6.4444,3065.8889,1797.2222,395.5556,181.2222,506.3333,11879.3333,34.5556,-0.2222,192.2222,131.5556,-38.4444,649.2222
52627,668,1137,3019.8889,459,9136.7778,-84.3333,3105.2222,1742.2222,384.8889,169.7778,593.1111,16553.8889,31.3333,62.7778,201.6667,138.2222,-38.7778,658.6667
52628,672,1140.8889,2798.3333,487,9079.4444,74.5556,2723.7778,1736.8889,374.8889,161.1111,774.3333,11370.5556,37.1111,-38.8889,144.4444,113.1111,-20.8889,728.1111
52629,667,1216.7778,3120.3333,442.4444,9179,3.1111,3118,1837.6667,408.7778,2.7778,404.8889,18817.3333,45.6667,20.5556,237,152.5556,-51.6667,633.7778
52630,675,1192.8889,2973.7778,465,9136,69.7778,2904,1802,389,3.1111,655.6667,20245.2222,45.1111,39.6667,217.2222,136.1111,-50.3333,607.4444
52631,669,1157.6667,3044.7778,450.3333,9166,-42.2222,3087.7778,1769.2222,390.8889,41.8889,554.1111,15300.6667,47,22.8889,163,122,-22.7778,732.2222
52632,669,1159.8889,3012.5556,452,9163,-5.2222,3018.3333,1765.5556,390,188.5556,508.3333,10676.6667,40.7778,-73.7778,241.2222,164.1111,-47.8889,659.7778
52661,708,1128.8889,2828.6667,427,9085.4444,115.8889,2712.7778,1694.4444,338,64.7778,524.6667,13266.7778,33.7778,-98,197.8889,144.6667,-40.5556,686.4444
52662,710,1078.7778,2639.5556,436,9034.2222,158,2481.5556,1614.8889,319.4444,30.3333,819,15527.1111,71.2222,-33.3333,155.5556,113.5556,-27.5556,709.4444
52663,706,1098.3333,2552.7778,458,9034.5556,169.7778,2382.7778,1606.8889,318.2222,144.6667,743.6667,14325.6667,17.4444,-4.2222,204.6667,163.4444,-21.6667,770.5556
52664,707.3333,1087.6667,2616.2222,450,9041.2222,189.2222,2426.7778,1587,314,26.4444,597.3333,17576.4444,14.2222,-30.4444,205.3333,168,-22.6667,768.2222
52665,706,1085.7778,2690,435.4444,9080.1111,125.2222,2564.8889,1601,319,32,553,15010.3333,60.8889,-32,149,94.2222,-33.5556,641
52666,706,1087.2222,2765.6667,433,9097.3333,66.5556,2698.8889,1621,324,111.6667,639.6667,17399.6667,19,108.3333,306.6667,149.2222,-135,426.6667
52667,706,1118.1111,2839.4444,604,8657,-14.4444,2854.2222,1699.2222,327,38,733.6667,18741.4444,36,14.3333,232.2222,150,-54.7778,629.8889
52668,704.2222,1111,2863.8889,614,8618,-47,2911.7778,1693.3333,326.1111,53.7778,615.8889,18686.8889,32.4444,-25.4444,193.2222,146.4444,-32.8889,720.6667
52669,711.4444,1126.1111,2707.3333,549.3333,8831.4444,94.6667,2612.7778,1698.8889,329.2222,0.4444,879.8889,19197.3333,46.6667,68.8889,198,147.7778,-31.3333,707.5556
52670,704,1072,2638.6667,563.3333,8825.8889,97,2541.7778,1629.4444,320.1111,132.2222,977,18300.2222,43.2222,97.7778,248.4444,193.1111,-37.8889,734.3333
52671,715.3333,1025,2641.6667,511,8945,-19.6667,2661.6667,1592.4444,311,176,902.6667,13154.4444,26.8889,26.5556,202.7778,155,-28.7778,733.3333
52672,705,1074.8889,2725.8889,517,8931.6667,-13,2739.7778,1650,327,175.6667,812.6667,15557.7778,39.8889,-5.5556,214.4444,150,-46.6667,663.2222
52673,705,1067.7778,2804.2222,513,8945,-55.6667,2860.7778,1645.8889,326.8889,11,674.6667,18372.6667,25.4444,-37.1111,257.6667,164.6667,-65.3333,607.1111
52674,690,1124.4444,2960.8889,585.4444,8748.3333,-48.3333,3010.3333,1710,342.3333,141.1111,697,15195.1111,25.1111,94.1111,189.8889,143,-32.3333,719.8889
52675,686.7778,1140,2999.6667,560,8818.7778,-39.7778,3040.4444,1736,353.2222,101,531.7778,14199.4444,24.6667,-8.5556,166.8889,123.3333,-26.5556,712.2222
52676,691.6667,1094.5556,2827.8889,518.2222,8951.7778,-12.7778,2841,1669.6667,340.2222,63.6667,711.3333,18657.7778,43,-32.7778,266.4444,187.2222,-54.4444,666.5556
52677,686,1110,2973.1111,521.8889,8875,-59.3333,3033.2222,1701.7778,348.2222,132.3333,653.8889,15647,34.4444,50.6667,240.5556,164.8889,-58.7778,628.2222
52678,726.2222,1030.8889,2565.7778,501,8966,36.6667,2528.8889,1603,308.4444,127.2222,949.3333,11906.3333,35.5556,-40.2222,214.1111,123.2222,-59.3333,577.6667
52679,711.6667,1074.1111,2735,511,8948,-11.3333,2747,1650.3333,324,36.1111,809.8889,15912.6667,48.7778,11.5556,182.4444,115.1111,-37.7778,640.5556
52680,699.1111,1088.1111,2883.2222,520,8943.6667,-44.8889,2928.8889,1659.2222,333.1111,190.4444,590.4444,15698.7778,9.1111,-40.3333,177.1111,145,-14.4444,794.5556
52681,696.3333,1120.7778,2846,526.7778,8923.3333,25.6667,2820.3333,1701,342.3333,68.2222,794.2222,20579.5556,63.3333,41.2222,232.5556,178.4444,-35.6667,725.2222
52682,691,1120,2879.8889,552.7778,8848,25,2855,1698,342.3333,172.7778,680.4444,15701.4444,58,-18,211.6667,177.6667,-16.4444,788
52683,687,1123,2779.5556,582.6667,8770.6667,38.5556,2741.4444,1702,342.6667,125.3333,891.4444,13191.5556,36.8889,94.7778,175.6667,143.5556,-19.4444,764
52684,706,1108,2688.5556,534.8889,8885.7778,102.6667,2585.6667,1676.6667,330.3333,44.5556,948.1111,16210.3333,43.1111,59.6667,164.5556,117.1111,-31.5556,679.1111
52685,706.2222,1113,2741.2222,520,8930.7778,76,2665.3333,1693.3333,335.8889,1.3333,844.2222,19801.5556,51.2222,52.4444,216.7778,155.4444,-43.6667,674
52686,733,919.6667,2407.7778,503.3333,8954.4444,-11.3333,2419.4444,1468.7778,278.5556,1,1124.4444,19313.8889,33.8889,-6.7778,286.6667,180.6667,-77.7778,605.7778
52687,725.6667,1065.2222,2584.3333,509,8932.6667,36.6667,2547.6667,1639,313.6667,10.4444,973.5556,18687,21,5.6667,236.8889,167.3333,-42.2222,679.3333
52688,694.1111,1084.3333,2909.7778,563.3333,8787.7778,-73.6667,2984.3333,1686,339,131.4444,677.6667,17341.8889,50.2222,-22.4444,261.7778,182.3333,-51.2222,680
52689,724,1034.4444,2540.4444,505,8943.3333,24,2517,1606.7778,309.6667,132.6667,988.7778,11342.6667,39.7778,-39.3333,207,142.1111,-35,691.2222
52690,729,1078.4444,2599,507,8939,48.3333,2550.5556,1656.6667,316.2222,5.8889,896,18229.4444,19.7778,-41.1111,192.8889,140.6667,-28.4444,715.5556
52691,733,978.6667,2492.6667,504,8951.1111,16.6667,2476,1538,291.8889,8.7778,1024.7778,17077.3333,45.1111,-36.7778,190.6667,131.7778,-36.5556,685
52692,723.7778,1029.5556,2563.8889,501,8960.5556,34.3333,2529.4444,1598.7778,309,64.1111,980.3333,19158.6667,24.4444,12.7778,258.1111,185,-44.8889,693.5556
52693,738.1111,874,2344.6667,499,8964,-31,2376.5556,1420,267.6667,193.4444,1189.7778,14244.1111,47.1111,-19.1111,220,126.6667,-54.4444,600
52694,747,752,2198.8889,500,8953.7778,-119,2319,1299.1111,240.4444,152.4444,1487.6667,14532.1111,18.3333,25.6667,243.7778,153.4444,-52.6667,621.3333
52695,735,891.6667,2373.6667,500,8963.6667,-25.4444,2400,1439.6667,272.5556,55.3333,1136,18923.1111,25.8889,-21,260.8889,159.1111,-67,603.3333
52696,720.7778,1083,2624.7778,502.5556,8967.7778,50,2574.5556,1663.1111,323.4444,7.6667,925.6667,19080.7778,24.8889,16.2222,248.6667,180.1111,-30.6667,731.1111
52697,700.3333,1111,2758.6667,489.2222,9027.6667,25.3333,2733.6667,1699,345.2222,17.7778,724.7778,16099.5556,16.1111,-55.8889,183.1111,153.5556,-11.5556,808.6667
