FCID,ABAM_COV,ABGRC_COV,ABPRSH_COV,ACMA3_COV,ALRH2_COV,ALRU2_COV,CADE27_COV,CHCH7_COV,CHLA_COV,LIDE3_COV,NOTALY_COV,PIBR_COV,PICO_COV,PIJE_COV,PILA_COV,PIPO_COV,PISI_COV,PSME_COV,QUCH2_COV,QUGA4_COV,QUKE_COV,TABR2_COV,THPL_COV,TSHE_COV,UMCA_COV
52481,0.0,0.0,39.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52482,0.0,0.0,10.4166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52484,0.0,47.7954,25.9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52485,0.0,0.0,42.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52494,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52502,0.0,52.7633,9.5163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52506,0.0,18.1269,36.2372,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52522,0.0,0.0,50.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52601,0.0,3.0,25.9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52602,0.0,0.0,0.0,0.0,0.0,0.0,9.5163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9491,30.0,0.0,0.0,8.0,0.0,0.0,0.0
52603,0.0,1.0,0.0,0.0,0.0,0.0,13.9292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4216,2.0,0.0,0.0,10.0,0.0,0.0,0.0
52604,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,2.0,0.0,0.0,1.0,0.0,0.0,0.0
52605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,59.343,30.0,0.0,8.0,0.0,0.0,0.0,0.0
52606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8235,0.0,66.7129,2.0,0.0,4.0,0.0,0.0,0.0,0.0
52607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,5.8235,0.0,0.0,68.3363,6.0,0.0,1.0,0.0,0.0,0.0,0.0
52608,0.0,0.0,0.0,0.0,0.0,0.0,10.4166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.3383,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3259,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,47.7954,20.0,0.0,0.0,0.0,0.0,0.0,0.0
52611,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.5312,1.0,0.0,0.0,0.0,0.0,0.0,0.0
